Region/Country/Economy,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Côte d'Ivoire,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.1,  0.9,  1.4,  1.8,  3.0,  3.0,  3.0,  3.0,  2.7,  2.6,  2.9,  2.9,  2.9,  3.1
Egypt,  0.2,  0.1,  0.2,  0.1,  0.1,  0.2,  0.7,  1.2,  1.7,  3.4,  3.8,  4.1,  4.8,  6.2,  7.9,  9.4,  10.5,  11.4,  14.4,  14.9,  16.5,  17.8,  20.9,  21.8,  22.9,  23.7,  24.4,  25.1,  31.9,  40.1,  42.7,  52.5,  57.7,  57.1,  65.7,  70.5,  73.6,  79.1
Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ethiopia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gabon,-,-,-,-,-,-,-,-,-,  0.0,  0.1,  0.1,  0.1,  0.1,  0.1,  0.2,  0.2,  0.3,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,  0.3,  0.2,  0.3,  0.2,  0.2,  0.2,  0.2,  0.2,  0.3,  0.3,  0.3,  0.3,  0.3,  0.4
Ghana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kenya,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Libyan Arab Jamahiriya,  2.1,  2.3,  2.0,  2.0,  2.5,  1.9,  2.2,  2.3,  2.9,  5.5,  3.8,  3.9,  5.2,  6.4,  7.0,  8.4,  7.4,  8.1,  9.9,  9.0,  8.9,  8.7,  8.4,  8.7,  8.5,  9.2,  9.6,  9.6,  7.2,  8.8,  9.3,  9.7,  9.9,  12.1,  10.4,  11.3,  11.4,  9.7
Morocco,  0.1,  0.1,  0.1,  0.2,  0.1,  0.2,  0.2,  0.2,  0.1,  0.1,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,  0.1,  0.1,  0.1,  0.1,  0.1,  0.0,  0.0,  0.0,  0.0,  0.0,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.9,  1.1,  1.3,  1.1
Mozambique,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.1,  0.1,  0.1
Namibia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nigeria,  0.4,  0.5,  0.8,  0.8,  1.0,  1.3,  1.6,  1.8,  2.3,  2.9,  4.3,  5.0,  6.1,  5.9,  6.9,  6.2,  7.0,  6.9,  7.3,  6.9,  8.5,  8.9,  9.7,  9.4,  9.2,  9.3,  9.8,  10.1,  10.6,  12.1,  10.6,  10.9,  14.6,  16.3,  16.5,  18.9,  19.2,  19.3
Senegal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.1,  0.1,  0.1,  0.0,  0.0,  0.0,-,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
South Africa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sudan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
United Rep. of Tanzania,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.2,  0.8,  1.0,  1.0,  1.1
Togo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tunisia,  0.0,  0.0,  0.3,  0.5,  0.5,  0.5,  0.5,  0.7,  0.8,  0.8,  0.9,  1.0,  1.0,  1.7,  2.2,  1.5,  2.6,  2.1,  2.2,  2.8,  2.0,  2.8,  2.8,  3.9,  4.6,  4.9,  5.2,  5.8,  6.1,  6.4,  7.1,  7.1,  7.5,  7.8,  7.5,  7.9,  8.4,  9.2
Zambia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Zimbabwe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Other Africa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.0,  0.0,  0.0,  0.3,  0.6,  0.6,  0.8,  1.5,  1.7,  1.8,  1.9
Africa,  5.2,  6.3,  7.0,  7.7,  9.0,  9.7,  11.5,  15.7,  21.0,  26.3,  29.7,  35.1,  41.3,  42.4,  46.2,  52.7,  54.1,  57.7,  62.4,  62.4,  66.7,  69.7,  75.0,  76.4,  79.2,  81.9,  86.1,  89.0,  97.5,  109.4,  112.8,  125.5,  138.7,  142.0,  154.8,  166.1,  172.6,  177.8
Bahrain,  1.8,  2.2,  3.1,  3.9,  4.1,  4.4,  4.7,  5.1,  5.6,  5.7,  6.1,  6.6,  6.9,  7.0,  8.6,  9.7,  9.4,  9.5,  9.5,  9.6,  9.3,  9.6,  9.2,  9.3,  9.3,  9.8,  10.2,  11.1,  11.4,  11.6,  12.2,  12.8,  13.2,  13.7,  14.6,  15.9,  17.0,  18.2
Islamic Rep. of Iran,  5.5,  6.3,  7.5,  8.0,  8.1,  9.0,  9.2,  7.1,  9.6,  8.5,  9.3,  12.7,  14.5,  16.9,  16.8,  16.1,  20.3,  21.2,  28.9,  37.0,  47.2,  51.2,  58.8,  71.8,  80.0,  79.3,  88.7,  96.5,  110.5,  118.9,  124.7,  140.3,  154.8,  174.3,  184.8,  202.6,  231.8,  242.7
Iraq,  1.8,  1.8,  2.3,  2.3,  3.1,  4.0,  3.1,  3.2,  4.3,  2.4,  1.2,  1.3,  0.9,  1.1,  1.6,  1.7,  1.9,  4.8,  5.4,  3.8,  3.3,  4.3,  4.9,  6.0,  6.0,  6.2,  5.8,  5.6,  6.1,  6.0,  5.3,  4.4,  3.0,  1.9,  2.8,  2.8,  2.8,  3.6
