Region/Country/Economy,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Poland,  252.5,  260.2,  270.7,  281.1,  289.7,  308.4,  315.9,  337.2,  341.5,  350.9,  325.4,  333.8,  334.4,  348.2,  359.8,  363.0,  377.8,  365.6,  346.9,  286.9,  287.8,  279.3,  279.5,  269.7,  268.4,  279.1,  264.4,  240.0,  228.7,  217.3,  215.5,  205.6,  211.2,  210.0,  207.2,  216.0,  212.3,  205.4
Portugal,  2.4,  1.6,  2.0,  1.7,  1.6,  1.6,  1.6,  1.6,  1.7,  1.6,  1.4,  1.2,  1.5,  1.4,  2.9,  5.4,  6.9,  8.0,  9.5,  10.6,  11.1,  11.4,  12.2,  13.5,  13.9,  13.4,  13.4,  12.3,  14.7,  14.7,  12.4,  13.5,  12.7,  12.9,  13.1,  13.0,  11.2,  9.8
Slovak Republic,  23.5,  23.6,  23.7,  23.3,  23.7,  22.9,  23.5,  27.2,  26.4,  32.0,  31.2,  31.7,  32.0,  33.6,  33.3,  30.7,  32.3,  33.6,  32.2,  30.7,  27.3,  24.2,  23.3,  20.6,  21.1,  20.1,  19.2,  17.6,  16.9,  16.0,  16.2,  15.5,  17.2,  16.5,  15.6,  16.2,  15.8,  15.1
Spain,  36.9,  37.7,  35.9,  34.6,  37.5,  36.1,  40.5,  36.2,  39.9,  47.9,  58.2,  65.6,  70.1,  70.9,  69.4,  72.1,  70.3,  60.3,  74.7,  74.1,  74.3,  78.8,  70.2,  70.0,  71.8,  60.0,  68.2,  65.7,  75.0,  81.5,  73.7,  83.3,  77.3,  79.9,  80.2,  69.3,  78.7,  53.4
Sweden,  5.4,  4.4,  6.2,  6.5,  6.9,  5.9,  4.9,  5.2,  5.8,  5.4,  4.8,  5.4,  7.3,  8.8,  10.6,  11.3,  11.2,  11.0,  10.2,  10.4,  10.7,  9.8,  9.8,  9.5,  9.4,  11.0,  9.0,  8.8,  8.5,  8.1,  8.4,  9.9,  10.5,  10.9,  9.8,  9.0,  8.9,  8.9
Switzerland,  2.0,  1.6,  1.6,  1.5,  1.0,  0.9,  1.0,  0.9,  1.0,  1.4,  1.9,  1.7,  1.5,  2.0,  2.0,  1.8,  1.6,  1.4,  1.4,  1.4,  1.2,  0.8,  0.7,  0.7,  0.8,  0.6,  0.4,  0.4,  0.4,  0.6,  0.6,  0.5,  0.6,  0.5,  0.6,  0.6,  0.7,  0.6
Turkey,  16.0,  19.4,  18.6,  20.1,  20.7,  23.0,  22.7,  23.6,  24.7,  26.8,  27.4,  30.4,  33.4,  38.1,  45.1,  49.9,  53.6,  49.3,  55.3,  57.9,  61.3,  61.9,  58.0,  58.1,  60.7,  70.4,  78.0,  80.5,  74.3,  88.9,  74.1,  77.4,  81.8,  85.2,  86.3,  101.7,  115.4,  115.4
United Kingdom,  348.4,  296.3,  313.8,  275.9,  274.2,  276.1,  277.4,  264.2,  287.9,  266.1,  266.5,  248.7,  248.8,  179.6,  236.8,  253.2,  259.5,  251.5,  240.7,  238.2,  238.9,  226.6,  198.4,  186.4,  174.1,  164.1,  145.6,  146.3,  130.0,  137.9,  147.6,  137.4,  147.7,  143.1,  145.0,  158.2,  147.5,  135.9
OECD Europe, 1 690.1, 1 616.1, 1 649.6, 1 625.2, 1 547.6, 1 631.5, 1 630.9, 1 652.4, 1 741.9, 1 758.6, 1 734.5, 1 744.2, 1 748.5, 1 748.9, 1 833.0, 1 818.2, 1 837.2, 1 802.2, 1 785.9, 1 675.7, 1 616.2, 1 509.4, 1 425.4, 1 399.2, 1 378.3, 1 388.7, 1 332.8, 1 292.1, 1 221.6, 1 263.4, 1 248.6, 1 239.4, 1 278.1, 1 282.7, 1 246.3, 1 295.4, 1 306.2, 1 214.5
Algeria,  0.4,  0.4,  0.4,  0.3,  0.3,  0.3,  0.4,  0.3,  0.4,  0.2,  0.3,  1.1,  1.0,  1.0,  1.0,  1.2,  1.3,  1.3,  1.2,  1.3,  1.3,  1.3,  1.1,  1.4,  1.4,  1.0,  0.5,  0.7,  1.1,  0.7,  0.7,  0.7,  0.9,  1.0,  1.0,  1.0,  1.2,  1.2
Angola,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Benin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Botswana,..,..,..,..,..,..,..,..,..,..,  1.0,  1.0,  1.0,  1.0,  1.1,  1.2,  1.3,  1.5,  1.6,  1.9,  2.1,  2.2,  2.2,  2.2,  2.2,  1.9,  1.9,  2.4,  2.4,  2.5,  2.2,  2.2,  2.0,  2.2,  2.3,  2.2,  2.1,  1.9
Cameroon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Congo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dem. Rep. of Congo,  1.0,  1.0,  0.8,  0.8,  0.8,  0.9,  0.9,  0.8,  0.7,  0.8,  0.8,  0.8,  0.8,  0.8,  0.8,  0.8,  0.8,  0.8,  0.9,  0.9,  0.9,  0.9,  0.8,  0.8,  1.0,  0.8,  0.9,  0.9,  0.9,  0.8,  0.8,  0.8,  0.9,  0.9,  1.0,  1.0,  1.1,  1.2
Côte d'Ivoire,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Egypt,  1.3,  1.2,  1.0,  1.8,  2.1,  2.1,  2.4,  2.3,  2.5,  2.1,  2.6,  2.7,  2.6,  2.6,  2.7,  2.8,  2.8,  3.1,  3.1,  2.7,  3.3,  3.3,  4.0,  3.4,  2.8,  3.1,  3.1,  3.6,  2.8,  3.3,  3.1,  3.3,  3.4,  3.3,  3.2,  3.1,  3.1,  3.0
Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ethiopia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gabon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ghana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
